id,sales_date,sales_amount
2,2024-01-01,4986
3,2024-01-02,5143
4,2024-01-03,3345
5,2024-01-04,5262
6,2024-01-05,3461
7,2024-01-06,1950
8,2024-01-07,4757
9,2024-01-08,8158
10,2024-01-09,5708
11,2024-01-10,6630
12,2024-01-11,6123
13,2024-01-12,5896
14,2024-01-13,7084
15,2024-01-14,4923
16,2024-01-15,1951
17,2024-01-16,5537
18,2024-01-17,2780
19,2024-01-18,6289
20,2024-01-19,2627
21,2024-01-20,6485
22,2024-01-21,6802
23,2024-01-22,5644
24,2024-01-23,4402
25,2024-01-24,1423
26,2024-01-25,4103
27,2024-01-26,4231
28,2024-01-27,3532
29,2024-01-28,6359
30,2024-01-29,5631
31,2024-01-30,3006
32,2024-01-31,5759
33,2024-02-01,8139
34,2024-02-02,5226
35,2024-02-03,2670
36,2024-02-04,5161
37,2024-02-05,1185
38,2024-02-06,7828
39,2024-02-07,4554
40,2024-02-08,2538
41,2024-02-09,3910
42,2024-02-10,2138
43,2024-02-11,5824
44,2024-02-12,6824
45,2024-02-13,3110
46,2024-02-14,3908
47,2024-02-15,5034
48,2024-02-16,5610
49,2024-02-17,3886
50,2024-02-18,2182
51,2024-02-19,7839
52,2024-02-20,6759
53,2024-02-21,2988
54,2024-02-22,8378
55,2024-02-23,3687
56,2024-02-24,2129
57,2024-02-25,3176
58,2024-02-26,4755
59,2024-02-27,8677
60,2024-02-28,6840
61,2024-02-29,1096
62,2024-03-01,6821
63,2024-03-02,1194
64,2024-03-03,7062
65,2024-03-04,3336
66,2024-03-05,5460
67,2024-03-06,3851
68,2024-03-07,2204
69,2024-03-08,2737
70,2024-03-09,7020
71,2024-03-10,7182
72,2024-03-11,1451
73,2024-03-12,7700
74,2024-03-13,7353
75,2024-03-14,7923
76,2024-03-15,5953
77,2024-03-16,5148
78,2024-03-17,6748
79,2024-03-18,3184
80,2024-03-19,4594
81,2024-03-20,8960
82,2024-03-21,8948
83,2024-03-22,5657
84,2024-03-23,1089
85,2024-03-24,4110
86,2024-03-25,4898
87,2024-03-26,7982
88,2024-03-27,1280
89,2024-03-28,2410
90,2024-03-29,4629
91,2024-03-30,6766
92,2024-03-31,1845
93,2024-04-01,2672
94,2024-04-02,8603
95,2024-04-03,2208
96,2024-04-04,7242
97,2024-04-05,4253
98,2024-04-06,3143
99,2024-04-07,6120
100,2024-04-08,8550
101,2024-04-09,6393
102,2024-04-10,6997
103,2024-04-11,7153
104,2024-04-12,5983
105,2024-04-13,8376
106,2024-04-14,7807
107,2024-04-15,5347
108,2024-04-16,2203
109,2024-04-17,7504
110,2024-04-18,4292
111,2024-04-19,6631
112,2024-04-20,4138
113,2024-04-21,1003
114,2024-04-22,8097
115,2024-04-23,5721
116,2024-04-24,6910
117,2024-04-25,2409
118,2024-04-26,6801
119,2024-04-27,2870
120,2024-04-28,6514
121,2024-04-29,2644
122,2024-04-30,2281
123,2024-05-01,4256
124,2024-05-02,2317
125,2024-05-03,8916
126,2024-05-04,4586
127,2024-05-05,3282
128,2024-05-06,1971
129,2024-05-07,4710
130,2024-05-08,8747
131,2024-05-09,2896
132,2024-05-10,6239
133,2024-05-11,3606
134,2024-05-12,6373
135,2024-05-13,1049
136,2024-05-14,5317
137,2024-05-15,6247
138,2024-05-16,1665
139,2024-05-17,2716
140,2024-05-18,1588
141,2024-05-19,5774
142,2024-05-20,4395
143,2024-05-21,6423
144,2024-05-22,2335
145,2024-05-23,6160
146,2024-05-24,4680
147,2024-05-25,5045
148,2024-05-26,7809
149,2024-05-27,8294
150,2024-05-28,3825
151,2024-05-29,3640
152,2024-05-30,7140
153,2024-05-31,8350
154,2024-06-01,2244
155,2024-06-02,3406
156,2024-06-03,6935
157,2024-06-04,1869
158,2024-06-05,5445
159,2024-06-06,6366
160,2024-06-07,2993
161,2024-06-08,3163
162,2024-06-09,2286
163,2024-06-10,8188
164,2024-06-11,4453
165,2024-06-12,5043
166,2024-06-13,8209
167,2024-06-14,2572
168,2024-06-15,3745
169,2024-06-16,2565
170,2024-06-17,1840
171,2024-06-18,3952
172,2024-06-19,3114
173,2024-06-20,6381
174,2024-06-21,4369
175,2024-06-22,5751
176,2024-06-23,3052
177,2024-06-24,8441
178,2024-06-25,1319
179,2024-06-26,5281
180,2024-06-27,5846
181,2024-06-28,7240
182,2024-06-29,5801
183,2024-06-30,7368
184,2024-07-01,4536
185,2024-07-02,3424
186,2024-07-03,7071
187,2024-07-04,3073
188,2024-07-05,5944
189,2024-07-06,3517
190,2024-07-07,6201
191,2024-07-08,3477
192,2024-07-09,8031
193,2024-07-10,7675
194,2024-07-11,3872
195,2024-07-12,3192
196,2024-07-13,4671
197,2024-07-14,2798
198,2024-07-15,1802
199,2024-07-16,6390
200,2024-07-17,5082
201,2024-07-18,6996
202,2024-07-19,1031
203,2024-07-20,1378
204,2024-07-21,2436
205,2024-07-22,7300
206,2024-07-23,3271
207,2024-07-24,2297
208,2024-07-25,6847
209,2024-07-26,7706
210,2024-07-27,1746
211,2024-07-28,4323
212,2024-07-29,7712
213,2024-07-30,7022
214,2024-07-31,5439
215,2024-08-01,1773
216,2024-08-02,1557
217,2024-08-03,3670
218,2024-08-04,3368
219,2024-08-05,8823
220,2024-08-06,5829
221,2024-08-07,5509
222,2024-08-08,3517
223,2024-08-09,4054
224,2024-08-10,4702
225,2024-08-11,2895
226,2024-08-12,2241
227,2024-08-13,4899
228,2024-08-14,7834
229,2024-08-15,6631
230,2024-08-16,2473
231,2024-08-17,1989
232,2024-08-18,7079
233,2024-08-19,7096
234,2024-08-20,2765
235,2024-08-21,6821
236,2024-08-22,5530
237,2024-08-23,4786
238,2024-08-24,8193
239,2024-08-25,4591
240,2024-08-26,3878
241,2024-08-27,7639
242,2024-08-28,8339
243,2024-08-29,5906
244,2024-08-30,4889
245,2024-08-31,6938
246,2024-09-01,7117
247,2024-09-02,8077
248,2024-09-03,1954
249,2024-09-04,7271
250,2024-09-05,5840
251,2024-09-06,5020
252,2024-09-07,7970
253,2024-09-08,4888
254,2024-09-09,6986
255,2024-09-10,8305
256,2024-09-11,8437
257,2024-09-12,7037
258,2024-09-13,5300
259,2024-09-14,8689
260,2024-09-15,7511
261,2024-09-16,2186
262,2024-09-17,5355
263,2024-09-18,5529
264,2024-09-19,5838
265,2024-09-20,3792
266,2024-09-21,6433
267,2024-09-22,4715
268,2024-09-23,4350
269,2024-09-24,2102
270,2024-09-25,2546
271,2024-09-26,2358
272,2024-09-27,8824
273,2024-09-28,5723
274,2024-09-29,5664
275,2024-09-30,7207
276,2024-10-01,3824
277,2024-10-02,1038
278,2024-10-03,1672
279,2024-10-04,5838
280,2024-10-05,3786
281,2024-10-06,3265
282,2024-10-07,7323
283,2024-10-08,8940
284,2024-10-09,5311
285,2024-10-10,1816
286,2024-10-11,4414
287,2024-10-12,6557
288,2024-10-13,6387
289,2024-10-14,2848
290,2024-10-15,4659
291,2024-10-16,4938
292,2024-10-17,1062
293,2024-10-18,7225
294,2024-10-19,5186
295,2024-10-20,5689
296,2024-10-21,2227
297,2024-10-22,8858
298,2024-10-23,2328
299,2024-10-24,3199
300,2024-10-25,2495
301,2024-10-26,4244
302,2024-10-27,4358
303,2024-10-28,2870
304,2024-10-29,1791
305,2024-10-30,1219
306,2024-10-31,2013
307,2024-11-01,4450
308,2024-11-02,2084
309,2024-11-03,7349
310,2024-11-04,7188
311,2024-11-05,3819
312,2024-11-06,2832
313,2024-11-07,6027
314,2024-11-08,2830
315,2024-11-09,6864
316,2024-11-10,5024
317,2024-11-11,7305
318,2024-11-12,1118
319,2024-11-13,4616
320,2024-11-14,7345
321,2024-11-15,6597
322,2024-11-16,6178
323,2024-11-17,5619
324,2024-11-18,2805
325,2024-11-19,1846
326,2024-11-20,2092
327,2024-11-21,7527
328,2024-11-22,2293
329,2024-11-23,4386
330,2024-11-24,8691
331,2024-11-25,7223
332,2024-11-26,2875
333,2024-11-27,6666
334,2024-11-28,6556
335,2024-11-29,5300
336,2024-11-30,7234
337,2024-12-01,5144
338,2024-12-02,8947
339,2024-12-03,8507
340,2024-12-04,6525
341,2024-12-05,3100
342,2024-12-06,7785
343,2024-12-07,8835
344,2024-12-08,6009
345,2024-12-09,3740
346,2024-12-10,7586
347,2024-12-11,4185
348,2024-12-12,5171
349,2024-12-13,4934
350,2024-12-14,5209
351,2024-12-15,3111
352,2024-12-16,5654
353,2024-12-17,3040
354,2024-12-18,6499
355,2024-12-19,8900
356,2024-12-20,3174
357,2024-12-21,4716
358,2024-12-22,1383
359,2024-12-23,6321
360,2024-12-24,3676
361,2024-12-25,8269
362,2024-12-26,6740
363,2024-12-27,1645
364,2024-12-28,5371
365,2024-12-29,2007
366,2024-12-30,7257
367,2024-12-31,1071
